date,value,sensor_id,location_id,location_name,parameter
2025-10-17,238.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-10-18,251.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-10-19,442.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-10-20,903.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-10-21,317.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-10-22,235.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-10-23,254.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-10-24,282.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-10-25,227.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-10-26,265.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-10-27,234.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-10-28,280.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-10-29,287.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-10-30,185.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-10-31,380.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-01-11,296.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-02-11,259.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-03-11,214.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-04-11,188.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-05-11,340.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-06-11,350.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-07-11,403.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-08-11,360.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-09-11,460.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-10-11,436.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-11-11,544.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-12-11,455.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-11-13,364.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-11-14,398.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-11-15,331.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-11-16,369.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-11-17,346.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-11-18,449.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-11-19,409.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-11-20,309.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-11-21,356.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-11-22,383.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-11-23,362.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-11-24,315.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-11-25,337.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-11-26,407.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-11-27,367.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-11-28,269.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-11-29,277.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-11-30,349.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-01-12,473.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-02-12,368.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-03-12,368.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-04-12,368.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-05-12,306.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-06-12,264.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-07-12,291.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-08-12,226.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-09-12,283.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-10-12,328.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-11-12,392.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-12-12,531.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-12-13,561.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-12-14,377.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-12-15,272.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-12-16,286.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-12-17,455.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-12-18,357.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-12-19,350.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-12-20,305.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-12-21,436.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-12-22,371.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-12-23,194.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-12-24,273.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-12-25,344.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-12-26,410.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-12-27,369.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-12-28,310.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-12-29,372.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2025-12-30,350.0,12234786,17,"R K Puram, Delhi - DPCC",pm10
2016-02-11,261.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-03-11,375.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-04-11,714.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-05-11,739.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-06-11,377.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-07-11,286.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-08-11,235.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-09-11,230.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-10-11,279.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-11-11,234.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-12-11,194.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-11-13,161.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-11-14,188.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-11-15,209.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-11-16,154.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-11-17,188.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-11-18,167.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-11-19,192.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-11-20,192.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-11-21,282.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-11-22,318.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-11-23,497.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-11-24,260.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-11-25,219.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-11-26,224.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-11-27,225.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-11-28,428.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-11-29,310.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-11-30,115.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-01-12,153.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-02-12,22.4,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-03-12,308.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-04-12,280.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-05-12,367.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-06-12,251.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-07-12,195.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-08-12,388.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-09-12,168.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-10-12,160.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-11-12,159.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-12-12,138.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-12-13,221.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-12-14,208.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-12-15,234.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-12-16,369.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-12-17,334.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-12-18,366.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-12-19,245.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-12-20,216.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-12-21,289.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
2016-12-22,577.0,13862,103,"Income Tax Office, Delhi - CPCB",pm10
