date,pm10_avg,pm25_avg
2017-04-24,284.6666666666667,81.91428571428571
2017-04-25,197.83333333333334,63.92857142857143
2017-04-26,273.0,98.88571428571429
2017-04-27,257.6666666666667,88.02857142857144
2017-04-28,301.6666666666667,116.84285714285714
2017-04-29,221.0,71.91428571428571
2017-04-30,171.63333333333333,83.24285714285715
2017-05-01,214.66666666666666,123.08571428571429
2017-05-02,362.6666666666667,136.83333333333334
2017-05-03,344.0,124.38571428571429
2017-05-04,307.3333333333333,160.13333333333333
2017-05-05,336.3333333333333,150.66666666666666
2017-05-06,391.0,184.33333333333334
2017-05-07,355.0,152.16666666666666
2017-05-08,335.6666666666667,109.81666666666666
2017-05-09,217.66666666666666,92.91666666666667
2017-05-10,228.33333333333334,102.63333333333333
2017-05-11,493.6666666666667,213.0
2017-05-12,329.3333333333333,156.77142857142857
2017-05-13,310.0,189.15714285714284
2017-05-14,379.3333333333333,123.60000000000001
2017-05-15,312.3333333333333,133.3
2017-05-16,243.66666666666666,91.37142857142858
2017-05-17,190.5,105.41666666666667
2017-05-18,297.3333333333333,116.71428571428571
2017-05-19,343.0,97.89999999999999
2017-05-20,465.0,132.0
2017-05-21,416.6666666666667,124.14285714285714
2017-05-22,477.3333333333333,171.1142857142857
2017-05-23,207.0,91.44285714285715
2017-05-24,297.3333333333333,126.92857142857143
2017-05-25,275.0,153.45714285714286
2017-05-26,295.0,70.325
2017-05-27,152.46666666666667,61.6875
2017-05-28,153.46666666666667,70.375
2017-05-29,153.0,102.0
2017-05-30,151.05,101.5
2017-05-31,239.66666666666666,111.6875
2017-06-01,350.6666666666667,127.25
2017-06-02,354.6666666666667,80.475
2017-06-03,405.0,88.15714285714286
2017-06-04,316.3333333333333,66.3375
2017-06-05,316.0,120.83333333333333
2017-06-06,182.9,100.68571428571428
2017-06-07,139.2,50.614285714285714
2017-06-08,244.5,105.41428571428571
2017-06-09,223.5,76.15714285714286
2017-06-10,50.5,85.71428571428571
2017-06-11,126.33333333333333,69.9875
2017-06-12,273.3333333333333,64.75
2017-06-13,338.0,87.0
2017-06-14,344.3333333333333,119.6125
2017-06-15,166.0,72.925
2017-06-16,143.06666666666666,52.4875
2017-06-17,334.3333333333333,121.0875
2017-06-18,307.6666666666667,115.9375
2017-06-19,92.43333333333334,48.375
2017-06-20,110.60000000000001,72.35
2017-06-21,151.33333333333334,76.9
2017-06-22,197.33333333333334,66.075
2017-06-23,276.6666666666667,94.725
2017-06-24,259.3333333333333,108.375
2017-06-25,222.66666666666666,81.4125
2017-06-26,191.33333333333334,76.9875
2017-06-27,95.23333333333333,49.51428571428572
2017-06-28,79.96666666666667,44.975
2017-06-29,71.56666666666666,44.3
2017-06-30,157.70000000000002,73.1625
2017-07-01,119.3,35.371428571428574
2017-07-02,224.13333333333333,58.175
2017-07-03,349.0,61.5625
2017-07-04,399.0,90.6375
2017-07-05,204.5,58.7625
2017-07-06,141.0,98.5375
2017-07-07,290.0,63.375
2017-07-08,379.5,160.7375
2017-07-09,213.5,55.675
2017-07-10,125.0,85.0625
2017-07-11,93.6,34.35
2017-07-12,111.0,35.7125
2017-07-13,139.65,117.05
2017-07-14,116.3,41.699999999999996
2017-07-15,133.95,137.4125
2017-07-16,128.75,85.4125
2017-07-17,109.45,47.4
2017-07-18,184.0,54.3875
2017-07-19,95.45,37.0875
2017-07-20,91.95,32.5875
2017-08-10,175.5,30.175
2017-08-11,157.0,27.2
2017-08-12,,40.54
2017-08-13,,44.46666666666667
2017-08-14,,47.599999999999994
2017-08-15,156.5,46.6875
2017-08-16,161.8,55.987500000000004
2017-08-17,161.0,60.25714285714285
2017-08-18,88.8,49.6625
2017-08-19,,38.9
2017-08-20,,37.44
2017-08-21,,51.31666666666666
2017-08-22,90.1,47.6375
2017-08-23,63.75,57.5125
2017-08-24,,65.5
2017-08-25,99.9,52.1875
2017-08-26,115.25,58.41428571428571
2017-08-27,98.15,34.35125
2017-08-28,67.95,58.15
2017-08-29,78.25,102.4
2017-08-30,42.35,39.74285714285714
2017-08-31,40.0,33.45
2017-09-01,57.1,33.2125
2017-09-02,98.65,37.2
2017-09-03,162.3,49.175
2017-09-04,120.4,38.875
2017-09-05,141.3,39.128571428571426
2017-09-06,118.15,45.375
2017-09-07,149.05,76.7
